Label,GENOTYPE,MARKER,CONDITION,Period,Amplitude,Phase,RAE
WT LHY,WT,LHY,SD,23.96201672,0.090910365,4.283432134,0.252462382
WT LHY,WT,LHY,SD,24.09299446,0.112705559,2.820894176,0.169244472
WT LHY,WT,LHY,SD,24.03893101,0.140930949,2.646534491,0.253367411
WT LHY,WT,LHY,SD,23.21862411,0.114388144,3.334540566,0.226919969
WT LHY,WT,LHY,SD,24.59789913,0.111966836,3.978247803,0.242530336
WT LHY,WT,LHY,SD,22.81147657,0.144119402,2.101508411,0.245628008
WT LHY,WT,LHY,SD,24.22479629,0.095113241,3.44686191,0.205966587
WT LHY,WT,LHY,SD,24.05496104,0.128121938,2.964309212,0.204429207
WT PRR5,WT,PRR5,SD,24.43087864,0.13290306,9.359855467,0.262381375
WT PRR5,WT,PRR5,SD,24.75274171,0.119183842,8.248797457,0.270276538
WT PRR5,WT,PRR5,SD,23.71639302,0.11852392,8.806433421,0.286534267
WT PRR5,WT,PRR5,SD,22.19334311,0.130808521,9.100536155,0.262509067
WT PRR5,WT,PRR5,SD,23.61093971,0.128089716,8.366891444,0.291940963
WT PRR5,WT,PRR5,SD,24.76689662,0.125433352,9.784055176,0.284026783
WT PRR5,WT,PRR5,SD,24.56756932,0.126353785,8.900717976,0.265160545
WT PRR5,WT,PRR5,SD,24.23978972,0.129191489,8.168394688,0.279933385
WT TOC1,WT,TOC1,SD,25.7389618,0.098665105,17.52972524,0.160852633
WT TOC1,WT,TOC1,SD,24.19525873,0.098890904,18.56612493,0.186742127
WT TOC1,WT,TOC1,SD,24.87081798,0.140194114,12.60600876,0.158155978
WT TOC1,WT,TOC1,SD,24.57119457,0.106129969,16.36343859,0.168117647
WT TOC1,WT,TOC1,SD,23.42721574,0.096711683,18.04334753,0.193101127
WT TOC1,WT,TOC1,SD,24.42472318,0.078359682,13.10953036,0.204393718
WT TOC1,WT,TOC1,SD,25.0336329,0.093737475,16.67391577,0.22073948
WT TOC1,WT,TOC1,SD,24.33634451,0.1068037,14.03871252,0.133642815
prr79 LHY,prr79,LHY,SD,30.98834583,0.128959678,6.060133353,0.146333764
prr79 LHY,prr79,LHY,SD,30.0862161,0.100025059,1.589779635,0.155377372
prr79 LHY,prr79,LHY,SD,30.31938135,0.084721243,2.597715309,0.103000814
prr79 LHY,prr79,LHY,SD,28.80857952,0.077650919,3.716769709,0.149908402
prr79 LHY,prr79,LHY,SD,32.66558319,0.13626836,2.705712432,0.123829728
prr79 LHY,prr79,LHY,SD,28.50365487,0.141227504,2.776038377,0.143888436
prr79 LHY,prr79,LHY,SD,29.72402839,0.111685517,4.94888731,0.173101041
prr79 LHY,prr79,LHY,SD,31.1212738,0.172898816,2.509098112,0.137698132
prr79 PRR5,prr79,PRR5,SD,27.7886596,0.13411184,6.474049776,0.171472743
prr79 PRR5,prr79,PRR5,SD,28.48051591,0.102978285,6.474673169,0.145287592
prr79 PRR5,prr79,PRR5,SD,28.23620679,0.099345747,7.262096178,0.180015234
prr79 PRR5,prr79,PRR5,SD,28.16763577,0.105402338,6.690470985,0.160627844
prr79 PRR5,prr79,PRR5,SD,27.61641419,0.116907935,7.597981884,0.148146089
prr79 PRR5,prr79,PRR5,SD,28.55440731,0.127222953,6.317319482,0.135745692
prr79 PRR5,prr79,PRR5,SD,27.34418545,0.157552345,6.515004148,0.169955064
prr79 PRR5,prr79,PRR5,SD,25.53165624,0.083094853,8.011311642,0.209514502
prr79 TOC1,prr79,TOC1,SD,27.86160323,0.155058167,14.17941954,0.116449369
prr79 TOC1,prr79,TOC1,SD,28.15508361,0.135392334,13.9034822,0.10324438
prr79 TOC1,prr79,TOC1,SD,28.32059073,0.15922044,12.91313461,0.103238682
prr79 TOC1,prr79,TOC1,SD,26.32844799,0.127123549,14.11888041,0.068775996
prr79 TOC1,prr79,TOC1,SD,27.29152779,0.129918318,13.09999691,0.138399468
prr79 TOC1,prr79,TOC1,SD,30.54761157,0.157346162,13.51318556,0.113672853
prr79 TOC1,prr79,TOC1,SD,28.08790613,0.135365661,13.88629674,0.181045948
prr79 TOC1,prr79,TOC1,SD,27.53541778,0.120942201,13.36079927,0.089631767
elf4 LHY,elf4,LHY,SD,16.4102244,0.069703844,2.105086101,0.687878856
elf4 LHY,elf4,LHY,SD,20.93125417,0.07785459,0.939850828,0.349867789
elf4 LHY,elf4,LHY,SD,17.27289182,0.059049226,1.784703606,0.500665792
elf4 LHY,elf4,LHY,SD,19.97073079,0.067423979,1.699367354,0.312135532
elf4 LHY,elf4,LHY,SD,17.66421042,0.064753259,2.666041838,0.395207357
elf4 LHY,elf4,LHY,SD,19.88278774,0.084802462,2.656099057,0.559487077
elf4 LHY,elf4,LHY,SD,19.16575908,0.067783412,2.95836836,0.420003475
elf4 LHY,elf4,LHY,SD,23.96814494,0.055023915,2.298848305,0.217352102
elf4 PRR5,elf4,PRR5,SD,19.63074828,0.062591891,7.020035494,0.066198822
elf4 PRR5,elf4,PRR5,SD,19.50341366,0.048209356,3.293983922,0.269530165
elf4 PRR5,elf4,PRR5,SD,22.91475795,0.062680124,3.751144458,0.335340731
elf4 PRR5,elf4,PRR5,SD,16.087364,0.053826346,5.53121804,0.298304722
elf4 PRR5,elf4,PRR5,SD,17.01464366,0.062508346,6.609013971,0.306080869
elf4 PRR5,elf4,PRR5,SD,19.30142149,0.052309921,5.031997157,0.565862511
elf4 PRR5,elf4,PRR5,SD,21.04821521,0.057416533,4.480129311,0.097330837
elf4 PRR5,elf4,PRR5,SD,21.62736776,0.051591704,8.208958007,0.082480638
elf4 TOC1,elf4,TOC1,SD,18.59966169,0.047744542,7.576574316,0.217656025
elf4 TOC1,elf4,TOC1,SD,18.28714824,0.051548331,6.728018392,0.294625499
elf4 TOC1,elf4,TOC1,SD,16.16089304,0.062500872,7.874493316,0.19496675
elf4 TOC1,elf4,TOC1,SD,15.41269292,0.058382261,7.247270985,0.448791054
elf4 TOC1,elf4,TOC1,SD,18.09841897,0.054789726,8.329899023,0.507772899
elf4 TOC1,elf4,TOC1,SD,23.1460657,0.059460242,6.598208677,0.387631996
elf4 TOC1,elf4,TOC1,SD,18.10983161,0.078602782,6.289327437,0.209968091
elf4 TOC1,elf4,TOC1,SD,17.04303071,0.061657475,9.857755221,0.141278628
WT LHY,WT,LHY,LD,23.3529445,0.132801162,3.775683861,0.211534604
WT LHY,WT,LHY,LD,24.76095204,0.117398387,3.740464658,0.200065217
WT LHY,WT,LHY,LD,24.19077744,0.121858498,4.355085144,0.173107424
WT LHY,WT,LHY,LD,24.55496315,0.133847338,4.112909791,0.235234078
WT LHY,WT,LHY,LD,25.09712796,0.125689004,4.739131258,0.175534111
WT LHY,WT,LHY,LD,25.62433356,0.152860163,5.47894536,0.158845195
WT LHY,WT,LHY,LD,24.92189942,0.131114692,1.40405096,0.278651537
WT LHY,WT,LHY,LD,24.7177186,0.119426656,3.328336281,0.149134813
WT PRR5,WT,PRR5,LD,24.4402472,0.166245523,8.922231915,0.271861025
WT PRR5,WT,PRR5,LD,25.21515415,0.164628236,8.922649904,0.27614123
WT PRR5,WT,PRR5,LD,24.81545359,0.165735275,9.566099669,0.270190652
WT PRR5,WT,PRR5,LD,24.17631997,0.172147637,12.23114658,0.256092615
WT PRR5,WT,PRR5,LD,22.94985079,0.166496712,9.239391901,0.269020257
WT PRR5,WT,PRR5,LD,23.95203688,0.162048899,10.55703576,0.28781044
WT PRR5,WT,PRR5,LD,25.10544731,0.174278485,8.99919132,0.326208629
WT PRR5,WT,PRR5,LD,25.07198004,0.155435365,10.24864843,0.276551798
WT TOC1,WT,TOC1,LD,25.34806619,0.169353234,20.29748539,0.157656103
WT TOC1,WT,TOC1,LD,23.78796514,0.196383536,15.54885981,0.163094876
WT TOC1,WT,TOC1,LD,23.26170506,0.190729812,21.42249693,0.184240639
WT TOC1,WT,TOC1,LD,24.29268126,0.187102899,12.88241994,0.176687039
WT TOC1,WT,TOC1,LD,24.49089098,0.178050979,15.85287552,0.160398443
WT TOC1,WT,TOC1,LD,24.1727308,0.165947004,12.1535818,0.15908278
WT TOC1,WT,TOC1,LD,24.32500661,0.15515785,15.27894382,0.213314648
WT TOC1,WT,TOC1,LD,23.72317227,0.215436943,15.09242472,0.178700131
prr79 LHY,prr79,LHY,LD,31.99133788,0.101869105,2.882267206,0.13776567
prr79 LHY,prr79,LHY,LD,32.5812657,0.135050477,3.589368574,0.117026669
prr79 LHY,prr79,LHY,LD,28.71106339,0.084382315,3.982036162,0.170124188
prr79 LHY,prr79,LHY,LD,32.49366321,0.13931633,4.900559264,0.160521589
prr79 LHY,prr79,LHY,LD,30.51337474,0.126762993,7.139148036,0.119822829
prr79 LHY,prr79,LHY,LD,29.66499656,0.135920557,4.665187987,0.150160249
prr79 LHY,prr79,LHY,LD,32.47999745,0.134368177,4.046764233,0.136377698
prr79 LHY,prr79,LHY,LD,30.7384376,0.106014178,4.992337897,0.115863683
prr79 PRR5,prr79,PRR5,LD,30.08400707,0.160759018,8.030077085,0.168392654
prr79 PRR5,prr79,PRR5,LD,29.18632604,0.12315948,6.037858643,0.199409434
prr79 PRR5,prr79,PRR5,LD,30.50491873,0.16621975,7.595330146,0.162483712
prr79 PRR5,prr79,PRR5,LD,30.89838744,0.153044158,6.53534415,0.153603446
prr79 PRR5,prr79,PRR5,LD,30.3139638,0.182139016,7.846389849,0.139593857
prr79 PRR5,prr79,PRR5,LD,30.30661114,0.150920519,7.367528109,0.100266916
prr79 PRR5,prr79,PRR5,LD,30.94866847,0.14235194,6.977945442,0.182314275
prr79 PRR5,prr79,PRR5,LD,30.52744882,0.137386592,6.025397756,0.127733578
prr79 TOC1,prr79,TOC1,LD,28.38991414,0.213361575,14.24812616,0.124287629
prr79 TOC1,prr79,TOC1,LD,29.39884511,0.197068884,14.00250632,0.135630344
prr79 TOC1,prr79,TOC1,LD,31.19000417,0.183988809,14.34911421,0.091522388
prr79 TOC1,prr79,TOC1,LD,29.69923871,0.190142818,13.94828331,0.107046779
prr79 TOC1,prr79,TOC1,LD,29.13562038,0.214111736,13.91297154,0.170970918
prr79 TOC1,prr79,TOC1,LD,30.15319834,0.186361714,13.71070407,0.098392578
prr79 TOC1,prr79,TOC1,LD,29.01088451,0.203775194,13.73735104,0.099721903
prr79 TOC1,prr79,TOC1,LD,32.16016614,0.194181545,13.2364711,0.138246139
elf4 LHY,elf4,LHY,LD,22.94716464,0.08715481,3.246365711,0.134103103
elf4 LHY,elf4,LHY,LD,25.16607555,0.069129234,2.937272668,0.0542656
elf4 LHY,elf4,LHY,LD,21.90989147,0.090972916,2.599803394,0.328973248
elf4 LHY,elf4,LHY,LD,22.97589879,0.083215057,3.03489259,0.222111032
elf4 LHY,elf4,LHY,LD,24.82305422,0.089156269,2.716892353,0.100147973
elf4 LHY,elf4,LHY,LD,22.27867346,0.10366781,4.68556664,0.309674114
elf4 LHY,elf4,LHY,LD,22.89584801,0.067351943,1.74959804,0.172109716
elf4 LHY,elf4,LHY,LD,17.7648912,0.112523124,3.62748811,0.357410644
elf4 PRR5,elf4,PRR5,LD,21.5409448,0.133639968,2.514211233,0.505346219
elf4 PRR5,elf4,PRR5,LD,26.58654963,0.116854975,3.216776369,0.019135665
elf4 PRR5,elf4,PRR5,LD,24.72187193,0.118611911,6.881523304,0.375717173
elf4 PRR5,elf4,PRR5,LD,15.7227897,0.119731528,6.616418523,0.416396955
elf4 PRR5,elf4,PRR5,LD,17.49563544,0.124284831,7.189265762,0.426270569
elf4 PRR5,elf4,PRR5,LD,16.79226987,0.130589698,5.475159023,0.380227462
elf4 PRR5,elf4,PRR5,LD,18.26359431,0.11114664,3.401872014,0.198535346
elf4 PRR5,elf4,PRR5,LD,25.34957501,0.125174183,3.745954752,0.082580335
elf4 TOC1,elf4,TOC1,LD,19.66978727,0.121803718,8.0082325,0.37742252
elf4 TOC1,elf4,TOC1,LD,18.04805952,0.125122574,7.044266008,0.401233192
elf4 TOC1,elf4,TOC1,LD,26.60598135,0.129089146,11.19683123,0.277531505
elf4 TOC1,elf4,TOC1,LD,23.70154174,0.133079273,11.4414906,0.38542102
elf4 TOC1,elf4,TOC1,LD,22.62051156,0.12625116,7.493230892,0.356583925
elf4 TOC1,elf4,TOC1,LD,20.98248882,0.122121433,11.20332303,0.217409796
elf4 TOC1,elf4,TOC1,LD,23.82159369,0.119836605,9.758763776,0.557946945
elf4 TOC1,elf4,TOC1,LD,26.95709191,0.103749812,10.48438791,0.385910043
