Label:,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158
1.[B2] WT LHY,1.623366823,1.402110485,1.170913559,0.959786654,0.802097665,0.713461558,0.675787654,0.654816053,0.640427623,0.644525523,0.650809397,0.675846012,0.745622582,0.855920794,0.951051945,0.971581833,0.906410294,0.82056234,0.766438035,0.754479929,0.756650752,0.735692072,0.701142571,0.697442635,0.759784996,0.847113162,0.939014945,1.00618856,0.994645585,0.940655502,0.884599996,0.844585409,0.824916377,0.815067545,0.799128435,0.782439621,0.816692069,0.881298999,0.952664404,1.025361001,1.017829584,0.969243985,0.939794918,0.895475039,0.853833907,0.824216526,0.802160838,0.795224908,0.794553538,0.821084386,0.895780988,0.944112382,0.949089209,0.93152454,0.90839716,0.882773747,0.862628308,0.851081183,0.836269348,0.819042951,0.818592452,0.851682753,0.903200111,0.952767292,0.972911506,0.949728866,0.924627592,0.890699088,0.850424011,0.842528232,0.826663787,0.80455387,0.799856112,0.804427261,0.844895341,0.901871056,0.925624099,0.919773931,0.902987697,0.879017884
2.[B3] WT LHY,1.477931389,1.253541239,1.019645446,0.820176202,0.719888683,0.686779344,0.682311808,0.695022775,0.722578678,0.721293591,0.726447776,0.793644511,0.921685552,1.038678933,1.052504291,0.975741352,0.917141692,0.864346666,0.819630316,0.80186356,0.815021647,0.837644178,0.876623189,0.956038472,1.08218651,1.203376844,1.226465064,1.160833401,1.108551426,1.038862572,0.983324092,0.965248384,0.962594855,0.991483748,1.024241072,1.07968014,1.199075517,1.269931312,1.280890598,1.249369436,1.175098591,1.10865229,1.062656367,1.025059748,0.990617875,0.977349123,0.983747488,1.026703264,1.122372964,1.201638484,1.203684743,1.139131039,1.07244097,1.029918603,0.989669065,0.9538711,0.946310991,0.936031929,0.931440885,0.956873603,1.01640044,1.074458342,1.076820892,1.025971045,0.968522386,0.905989373,0.858019653,0.833570226,0.817735466,0.796634021,0.797280451,0.847392212,0.930886952,0.978140621,0.994787679,0.967718611,0.88164613,0.820653419,0.77962829,0.743524697
3.[B4] WT LHY,1.371167064,1.080404988,0.829089482,0.659678349,0.532764068,0.485004457,0.477263135,0.452300875,0.429930106,0.423950987,0.441688002,0.51325952,0.658077952,0.772238931,0.765313996,0.686310974,0.638848827,0.569390662,0.527383808,0.520736817,0.505775791,0.499702076,0.541252861,0.615334254,0.689514262,0.757598822,0.760701627,0.707466213,0.649054157,0.617229206,0.60832883,0.589700626,0.561110712,0.558356325,0.587077702,0.665159446,0.752296299,0.787998679,0.790409583,0.746293935,0.688481156,0.65746932,0.631529933,0.608642561,0.600939081,0.617214326,0.65539547,0.714028573,0.783224126,0.822958984,0.795006054,0.744719903,0.701303522,0.668568194,0.639258146,0.610945309,0.598631771,0.60092917,0.622231556,0.6919373,0.75312263,0.762392448,0.730603599,0.695875099,0.651264834,0.624780342,0.621925282,0.602341734,0.57436733,0.578179025,0.616329014,0.659189265,0.710276433,0.718886196,0.692230717,0.666578426,0.616155293,0.592721692,0.584721807,0.558027007
4.[B5] WT LHY,1.361077059,1.072471895,0.808235403,0.622132516,0.498702679,0.441485022,0.422360804,0.397969227,0.389823308,0.40928137,0.463419813,0.556105976,0.675806134,0.796371558,0.847820068,0.791451939,0.707617233,0.643051253,0.595847251,0.566500174,0.58337489,0.581981848,0.594339814,0.669788375,0.753207611,0.843941869,0.886671638,0.848148564,0.786768819,0.712132019,0.652131839,0.62155816,0.60173302,0.613014377,0.665589172,0.741936795,0.820240757,0.919506796,0.950811232,0.884168726,0.808199168,0.74887506,0.720706247,0.700776538,0.658167163,0.64309669,0.666284548,0.717265603,0.782633429,0.835827325,0.839972178,0.802863674,0.764969644,0.73525607,0.690701857,0.639490969,0.604774355,0.577057774,0.586190987,0.640683377,0.717495365,0.782940404,0.785896347,0.744082789,0.699227151,0.647295271,0.604820552,0.58514777,0.576512354,0.555235337,0.558171919,0.604996619,0.68592435,0.765392029,0.773945705,0.735366999,0.699939147,0.673177565,0.647105111,0.605994888
5.[B6] WT LHY,1.996529906,1.72925896,1.499423098,1.353503161,1.232056106,1.1648356,1.165491388,1.162514322,1.130941334,1.11774032,1.161616873,1.201539142,1.302679508,1.472697921,1.585282023,1.569212923,1.480399271,1.403641671,1.331839828,1.284735133,1.281685174,1.309193177,1.310504405,1.315608988,1.371569188,1.457116806,1.56432748,1.624708521,1.574622738,1.532432034,1.500861309,1.452853265,1.428008301,1.414214461,1.403884043,1.404442578,1.418692334,1.486123721,1.602984913,1.689362966,1.696877086,1.657057481,1.616030223,1.547321636,1.507956488,1.514651316,1.510859827,1.519599943,1.54340211,1.579485387,1.653489214,1.713072246,1.721096865,1.691510121,1.643357759,1.583553041,1.518122008,1.46357517,1.430429836,1.412647671,1.399931497,1.405194269,1.427254664,1.464549081,1.514853524,1.513570749,1.464454694,1.417850841,1.363926681,1.313432681,1.273529726,1.23507538,1.216390915,1.212199007,1.215513503,1.256868251,1.316164121,1.341129805,1.29513561,1.229156225
6.[B7] WT LHY,1.640296161,1.383678791,1.153269641,0.984895429,0.842875512,0.742087847,0.693183681,0.672222882,0.650023688,0.663967481,0.734934997,0.850709974,0.973276567,1.046731741,1.008883803,0.938950193,0.895897298,0.816033212,0.7791881,0.750846064,0.717580753,0.734522053,0.797229289,0.882321203,0.974195237,1.041779041,1.032459839,0.948344284,0.863636477,0.827145247,0.822293193,0.822928659,0.826327017,0.830668283,0.865053176,0.975464208,1.072879202,1.104111486,1.081283134,1.03069409,0.94984625,0.913883489,0.896627114,0.857312791,0.867795827,0.898303805,0.943380951,1.020832914,1.102250155,1.087241918,1.036489846,0.99777509,0.969598314,0.956378648,0.911313517,0.897074738,0.923582313,0.925054571,0.987272236,1.058953289,1.07317628,1.031350448,0.972781241,0.89286854,0.837444932,0.824578609,0.807857439,0.788081865,0.809357304,0.876975715,0.955678721,1.020445066,1.047868498,1.013585716,0.948983754,0.916982363,0.875868825,0.829721612,0.795532899,0.785466954
7.[B8] WT LHY,1.224415551,0.998561125,0.775262193,0.588175769,0.450964168,0.373683033,0.345112635,0.31382263,0.293451784,0.297457228,0.307487047,0.328536378,0.406931051,0.546334535,0.633364175,0.617057901,0.541473649,0.493858493,0.471943504,0.456057701,0.432169125,0.399199505,0.378049478,0.371619375,0.384584355,0.475828278,0.580558968,0.612639967,0.571868415,0.512305951,0.46572941,0.436723998,0.431555017,0.413297592,0.383293602,0.39940858,0.441008965,0.505008826,0.594020576,0.663960367,0.672087947,0.627865617,0.586063457,0.560683981,0.530161541,0.490067848,0.485423624,0.487067034,0.485304176,0.5120316,0.572342953,0.637104613,0.667067633,0.645767288,0.614673233,0.586767577,0.546103239,0.508102088,0.479658849,0.459443495,0.448224326,0.461389786,0.499422295,0.545368411,0.57840646,0.586249082,0.566555322,0.528588211,0.495715238,0.47242861,0.454850487,0.451750471,0.461813192,0.471176953,0.47218131,0.500437596,0.541413784,0.5621844,0.560701283,0.529084279
8.[B9] WT LHY,1.412106289,1.188952782,0.958342282,0.76625461,0.620337272,0.501030139,0.453658347,0.453779147,0.455015509,0.451962942,0.456587756,0.479192489,0.535204454,0.654142542,0.785139766,0.842559278,0.784808299,0.711253253,0.654832871,0.590436892,0.529267227,0.492198033,0.481542897,0.487506268,0.534394439,0.629582076,0.739478012,0.796897418,0.791640487,0.747579498,0.690849908,0.621690252,0.566452017,0.535311508,0.501124407,0.484072206,0.508593323,0.571152114,0.630957242,0.701084268,0.757297813,0.729390027,0.674517874,0.627710749,0.592533794,0.581126523,0.583980244,0.592369519,0.605615856,0.619152225,0.66005126,0.744089981,0.829901404,0.849810011,0.807635212,0.761477744,0.722097529,0.699255234,0.68888698,0.669788387,0.652048745,0.636543492,0.63811567,0.716994197,0.816399484,0.857894107,0.820908678,0.750535275,0.687563769,0.639352688,0.584548536,0.557160981,0.553054461,0.533341694,0.536666278,0.581670245,0.660648835,0.746054761,0.765022177,0.71684616
9.[B10] prr79 LHY,1.477963321,1.280767365,1.07884164,0.91009224,0.798099143,0.692652608,0.614555496,0.583987022,0.578325258,0.573949327,0.601000863,0.685864676,0.804186724,0.972845973,1.187894593,1.371444155,1.370825629,1.235441225,1.068670446,0.917061928,0.81137757,0.762078218,0.746579973,0.716861084,0.688130149,0.688739943,0.726688161,0.78435978,0.882433712,1.0426513,1.232395712,1.321239793,1.290151911,1.194833716,1.061589991,0.944208147,0.86726857,0.816545472,0.781037181,0.755971527,0.749648873,0.774560216,0.805924902,0.852275697,0.94863075,1.105596342,1.252432351,1.313274769,1.266680989,1.170566944,1.06096391,0.957475272,0.882766194,0.846873012,0.825681301,0.791855945,0.764194298,0.775772728,0.818583648,0.864070432,0.966494916,1.118759298,1.2433386,1.2507185,1.172889895,1.064284352,0.959974962,0.873386685,0.790783692,0.728148294,0.718939653,0.703822019,0.688093903,0.698805544,0.72078531,0.788818818,0.908711905,1.033584993,1.09403021,1.058978219
10.[B11] prr79 LHY,1.792633908,1.618996985,1.440429215,1.294826497,1.209168727,1.123345037,1.059622377,1.041472862,1.026065202,1.022815811,1.039413651,1.073557204,1.148204106,1.298878679,1.514762407,1.697540963,1.732341035,1.637248445,1.528560775,1.413757473,1.327129193,1.29157844,1.26500666,1.242861168,1.231846553,1.231696453,1.23752732,1.261547362,1.329036878,1.460355801,1.629988883,1.765853952,1.790581669,1.726542815,1.636332046,1.561972569,1.48378929,1.41776577,1.384475645,1.379440648,1.370441416,1.367481633,1.390320553,1.408149212,1.447880181,1.545021607,1.690211915,1.806589969,1.844014825,1.797901154,1.690761839,1.576300881,1.492278296,1.435289258,1.403178437,1.375181372,1.337088279,1.328929421,1.337906244,1.340562577,1.35174786,1.40977057,1.512185197,1.606061253,1.627228317,1.574486724,1.4879252,1.407167612,1.332866047,1.269265522,1.227059425,1.187988242,1.149513987,1.121060992,1.108027904,1.104195326,1.119657634,1.175148773,1.254024749,1.315950226
