Label,GENOTYPE,MARKER,Period,Amplitude,Phase,RAE
WT LHY,WT,LHY,23.962016716325067,0.09091036546777426,4.283432133545342,0.2524623818152087
WT LHY,WT,LHY,24.092994458117648,0.11270555927549804,2.8208941763433213,0.1692444721387854
WT LHY,WT,LHY,24.038931014881495,0.14093094873907744,2.6465344908118724,0.2533674111612579
WT LHY,WT,LHY,23.218624111249024,0.11438814380681278,3.334540565999098,0.2269199686783181
WT LHY,WT,LHY,24.597899126280407,0.11196683584398676,3.9782478027964023,0.24253033642050936
WT LHY,WT,LHY,22.811476566560906,0.14411940167642465,2.1015084106413253,0.24562800789409917
WT LHY,WT,LHY,24.2247962943952,0.09511324146702103,3.4468619099643134,0.20596658669660484
WT LHY,WT,LHY,24.05496104475958,0.1281219378188198,2.96430921175273,0.2044292069385157
WT PRR5,WT,PRR5,24.430878644634674,0.1329030602851718,9.359855467047872,0.26238137475818446
WT PRR5,WT,PRR5,24.752741714973475,0.11918384223245965,8.24879745675222,0.2702765380643963
WT PRR5,WT,PRR5,23.71639301608414,0.11852392038667706,8.806433421434168,0.2865342668920778
WT PRR5,WT,PRR5,22.1933431087924,0.13080852101992083,9.100536154961723,0.26250906725452117
WT PRR5,WT,PRR5,23.610939709034906,0.12808971562915164,8.36689144405599,0.29194096270997577
WT PRR5,WT,PRR5,24.766896618794394,0.12543335183698467,9.784055176421035,0.28402678251064273
WT PRR5,WT,PRR5,24.567569316848733,0.1263537851606593,8.90071797599678,0.26516054461466326
WT PRR5,WT,PRR5,24.23978971546019,0.12919148940730674,8.168394688454773,0.2799333849318822
WT TOC1,WT,TOC1,25.738961802468012,0.09866510486984827,17.529725238596125,0.16085263275666348
WT TOC1,WT,TOC1,24.19525872768605,0.09889090360660517,18.56612493145153,0.18674212663579415
WT TOC1,WT,TOC1,24.870817980725757,0.14019411422111439,12.606008764527793,0.1581559783598983
WT TOC1,WT,TOC1,24.57119456959167,0.10612996921138029,16.363438585645547,0.1681176465709523
WT TOC1,WT,TOC1,23.427215744644258,0.09671168270273436,18.04334752736969,0.1931011266043986
WT TOC1,WT,TOC1,24.42472318289919,0.07835968161764265,13.109530364388645,0.20439371814498214
WT TOC1,WT,TOC1,25.033632902656283,0.09373747497806191,16.673915769103417,0.22073947969565585
WT TOC1,WT,TOC1,24.33634451428279,0.10680370009125427,14.038712524259989,0.13364281522192134
prr79 LHY,prr79,LHY,30.988345832183157,0.12895967825490265,6.060133352531775,0.14633376422522834
prr79 LHY,prr79,LHY,30.086216103277007,0.1000250593235508,1.589779635385666,0.15537737188457057
prr79 LHY,prr79,LHY,30.3193813503421,0.08472124326532715,2.5977153089610843,0.10300081403692793
prr79 LHY,prr79,LHY,28.808579523030808,0.0776509193366399,3.7167697087513574,0.1499084019064646
prr79 LHY,prr79,LHY,32.665583194224396,0.13626836045863697,2.705712431858779,0.12382972810147162
prr79 LHY,prr79,LHY,28.503654868439174,0.14122750387555177,2.776038377292714,0.14388843554956163
prr79 LHY,prr79,LHY,29.72402838882608,0.11168551704223077,4.948887310043315,0.17310104143703342
prr79 LHY,prr79,LHY,31.12127380229777,0.17289881632682239,2.5090981122171767,0.13769813206558548
prr79 PRR5,prr79,PRR5,27.788659596136075,0.13411184021423067,6.4740497764187745,0.17147274347188685
prr79 PRR5,prr79,PRR5,28.480515908710682,0.10297828489165141,6.47467316868097,0.14528759225906243
